map_id,run_index,true_creator,llm_believed_creator,llm_believed_creator_raw,parsed_ok,confidence_level,enjoyment,difficulty,frustration,novelty,aesthetics,reasoning,error,map_status
2v2qgbvC,1,Human,AI,AI-generated,True,2.0,3.0,2.0,1.0,1.0,2.0,The slightly disorganized and symmetrical yet disconnected layout feels more procedural than intentionally designed.,,ok
2v2qgbvC,2,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,The puzzle's simple symmetrical layout and very direct solution path feel mechanical and uninspired.,,ok
2v2qgbvC,3,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,The puzzle is highly symmetrical and the solution is to just push each box onto its obvious goal.,,ok
2v2qgbvC,4,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,"The puzzle felt more like a simple task than a brain teaser, with no misdirection or need for advanced planning.",,ok
2v2qgbvC,5,Human,Human,Human-designed,True,2.0,3.0,1.0,1.0,1.0,3.0,"The puzzle is divided into two clear, symmetrical sections, which is a common human design pattern.",,ok
2v2qgbvC,6,Human,AI,AI-generated,True,2.0,2.0,1.0,1.0,1.0,2.0,"The puzzle has a simple, grid-like symmetry and lacks a 'human touch' or clever trick in its design.",,ok
2v2qgbvC,7,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,2.0,It lacks a clear theme or clever twist; it's just pushing boxes into an adjacent column.,,ok
2v2qgbvC,8,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,2.0,"The direct, almost algorithmic solution and symmetric design feel very procedural and lack human-like ingenuity.",,ok
2v2qgbvC,9,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,"The puzzle is symmetrical, simple, and lacks any clever design tricks typical of human creators.",,ok
2v2qgbvC,10,Human,AI,AI-generated,True,1.0,3.0,1.0,1.0,1.0,3.0,The puzzle's symmetric layout and straightforward push sequence lack the unique quirks often found in human-designed levels.,,ok
2v2qgbvC,11,Human,Human,Human-designed,True,3.0,2.0,1.0,1.0,1.0,4.0,"It features a very symmetrical and organized layout, which is a classic human design style for introducing concepts.",,ok
2v2qgbvC,12,Human,Human,Human-designed,True,2.0,3.0,2.0,1.0,2.0,4.0,The puzzle requires freeing up space methodically by moving boxes from one side to the other first.,,ok
2v2qgbvC,13,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,3.0,"The level design is perfectly symmetrical, and the solution path is simply repeated on both sides.",,ok
2v2qgbvC,14,Human,Human,Human-designed,True,3.0,3.0,1.0,1.0,1.0,3.0,"The puzzle's simple, symmetric layout and straightforward solution feel like a human-made introductory level.",,ok
2v2qgbvC,15,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,2.0,"The puzzle's symmetric layout and repetitive, procedural solution felt more machine-like than creatively designed.",,ok
2v2qgbvC,16,Human,Human,Human-designed,True,2.0,4.0,3.0,1.0,3.0,3.0,"The core puzzle mechanic involves realizing the goals are initially blocked by the wrong boxes, a common human-made trick.",,ok
2v2qgbvC,17,Human,AI,AI-generated,True,1.0,3.0,1.0,1.0,1.0,2.0,"The puzzle is highly symmetrical and the solution is a basic, step-by-step process without any tricky interactions.",,ok
2v2qgbvC,18,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,The level is solved by simply pushing boxes from one side to the other without any obstacles.,,ok
2v2qgbvC,19,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,2.0,"The puzzle is just two columns, where one column's boxes just need to be moved to the other.",,ok
2v2qgbvC,20,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,"The puzzle is extremely simple, straightforward, and symmetrical, lacking any creative twist or challenge.",,ok
3xtQxBWH,1,Human,AI,AI-generated,True,1.0,3.0,3.0,1.0,2.0,4.0,"Since there is no gameplay, I cannot analyze the solution path or intended logic, which are key indicators.",,ok
3xtQxBWH,2,Human,Human,Human-designed,True,1.0,3.0,2.0,2.0,1.0,4.0,"The puzzle has a small, constrained layout and features decorative, non-functional elements (the plants), suggesting human aesthetic choices.",,ok
3xtQxBWH,3,Human,Human,Human-designed,True,3.0,3.0,1.0,1.0,1.0,3.0,"It's a very simple and compact puzzle with a clear, single-step logic which is typical for human design principles.",,ok
3xtQxBWH,4,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,2.0,"The puzzle is extremely simple and symmetrical, lacking any clever design or challenge. It feels like a basic configuration an AI might create as a tutorial or starting point.",,ok
3xtQxBWH,5,Human,Human,Human-designed,True,3.0,3.0,1.0,1.0,1.0,3.0,The puzzle's absolute simplicity and symmetry strongly suggest it is a human-made tutorial level.,,ok
3xtQxBWH,6,Human,Human,Human-designed,True,3.0,3.0,1.0,1.0,1.0,3.0,"This puzzle feels like a handcrafted tutorial level, designed to teach a basic Sokoban concept.",,ok
3xtQxBWH,7,Human,Human,Human-designed,True,3.0,3.0,3.0,2.0,1.0,4.0,"The puzzle's symmetrical layout and deliberate placement of goals feel like a classic human design, meant to be solved with a specific sequence in mind.",,ok
3xtQxBWH,8,Human,Human,Human-designed,True,3.0,4.0,3.0,1.0,3.0,5.0,"The puzzle's flow feels intentional and designed around a specific solution path, making it fair but thoughtful.",,ok
3xtQxBWH,9,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,"The puzzle is extremely simple and lacks any interesting interactions, resembling a basic training level.",,ok
3xtQxBWH,10,Human,Human,Human-designed,True,1.0,3.0,4.0,3.0,2.0,4.0,"The layout appears considered, with grouped goals and boxes placed to create distinct sub-problems.",,ok
3xtQxBWH,11,Human,AI,AI-generated,True,3.0,3.0,2.0,1.0,1.0,2.0,"The puzzle's simple, almost utilitarian structure and straightforward solve path feel computationally derived for low difficulty.",,ok
3xtQxBWH,12,Human,Human,Human-designed,True,3.0,4.0,3.0,1.0,2.0,4.0,The puzzle's symmetry and the specific constraints on box movement feel deliberately crafted for a focused solving experience.,,ok
3xtQxBWH,13,Human,Human,Human-designed,True,3.0,4.0,3.0,1.0,2.0,4.0,"The puzzle is a tight, interlocking problem requiring specific sequential moves, which feels handcrafted for a satisfying solution.",,ok
3xtQxBWH,14,Human,AI,AI-generated,True,3.0,1.0,1.0,1.0,1.0,2.0,"The level feels like a basic tutorial, lacking any clever tricks or thoughtful box interactions.",,ok
3xtQxBWH,15,Human,Human,Human-designed,True,2.0,4.0,3.0,2.0,2.0,4.0,"The puzzle has a symmetric feel and requires careful navigation around the central box, a classic human design trope.",,ok
3xtQxBWH,16,Human,Human,Human-designed,True,3.0,4.0,4.0,3.0,2.0,4.0,"The puzzle uses a small space to create a tricky interlocked problem, which feels like a classic human design.",,ok
3xtQxBWH,17,Human,Human,Human-designed,True,2.0,3.0,4.0,3.0,3.0,4.0,The puzzle's symmetric feel and the deliberate placement of obstacles suggest intentional human design for a specific challenge.,,ok
3xtQxBWH,18,Human,AI,AI-generated,True,1.0,2.0,1.0,1.0,1.0,2.0,"The puzzle has a simple, uninspired layout with little apparent structure or intended path.",,ok
3xtQxBWH,19,Human,Human,Human-designed,True,3.0,4.0,5.0,3.0,2.0,4.0,"This puzzle has a specific, constrained setup designed to force you to solve one part before another.",,ok
3xtQxBWH,20,Human,AI,AI-generated,True,3.0,1.0,2.0,5.0,1.0,1.0,"The puzzle is extremely small and simple, and it leads to an immediate and obvious unsolvable state, suggesting a lack of human design or testing.",,ok
5Au4nrI2,1,Human,Human,Human-designed,True,3.0,3.0,2.0,1.0,1.0,3.0,"The puzzle's simple, almost symmetrical layout and straightforward, sequential solution feel thoughtfully crafted by a person.",,ok
5Au4nrI2,2,Human,Human,Human-designed,True,3.0,4.0,2.0,1.0,2.0,4.0,"The puzzle has a simple, clean layout and solution path that feels intentional, not randomly generated.",,ok
5Au4nrI2,3,Human,AI,AI-generated,True,3.0,2.0,1.0,1.0,1.0,2.0,It lacks the clever misdirection or subtle constraints that human designers often include.,,ok
5Au4nrI2,4,Human,AI,AI-generated,True,1.0,3.0,2.0,1.0,1.0,2.0,"The puzzle is a basic execution of Sokoban mechanics, feeling more like a procedural arrangement than an intentional design.",,ok
5Au4nrI2,5,Human,Human,Human-designed,True,3.0,4.0,2.0,1.0,2.0,3.0,"The puzzle has a simple, focused theme which is solving the boxes in a particular order from right to left.",,ok
5Au4nrI2,6,Human,Human,Human-designed,True,3.0,4.0,3.0,1.0,2.0,5.0,"It's a compact, symmetrical design where every box placement feels interconnected and deliberate, a classic human design trait.",,ok
5Au4nrI2,7,Human,AI,AI-generated,True,2.0,2.0,1.0,1.0,1.0,2.0,"The puzzle lacks a clear thematic or clever sequence, feeling more like a random arrangement of boxes and goals.",,ok
