map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
1,8Ua6YU1D,ok,outputs\procedural_sokoban\8Ua6YU1D.txt,outputs\procedural_sokoban\8Ua6YU1D.mp4,20,20,AI-generated,AI-generated=12;Human-designed=8,2.550,"The puzzle is very small, symmetrical, and presents no real obstacles or complex interactions, making it seem machine-generated.",1.800,0.927,1.150,0.357,1.300,0.954,1.200,0.510,2.100,0.831,
2,t7mUz3Qe,ok,outputs\procedural_sokoban\t7mUz3Qe.txt,outputs\procedural_sokoban\t7mUz3Qe.mp4,20,20,Human-designed,Human-designed=13;AI-generated=7,2.800,"The puzzle's simple, symmetrical design feels deliberate and typical of introductory human-made levels.",2.750,0.887,1.250,0.433,1.000,0.000,1.050,0.218,3.400,1.068,
3,7V2mu5KA,ok,outputs\procedural_sokoban\7V2mu5KA.txt,outputs\procedural_sokoban\7V2mu5KA.mp4,20,20,Human-designed,Human-designed=15;AI-generated=5,2.550,"The puzzle's elegant, symmetrical design and single clear 'aha' moment feel intentionally crafted for a player's satisfaction.",3.450,0.740,1.900,0.831,1.150,0.357,1.600,0.860,3.600,0.970,
4,HjLVlKx4,ok,outputs\procedural_sokoban\HjLVlKx4.txt,outputs\procedural_sokoban\HjLVlKx4.mp4,20,20,Human-designed,Human-designed=13;AI-generated=7,2.650,"The puzzle focuses on a single, elegant choke point, a common characteristic of focused human puzzle design.",3.100,0.943,2.000,0.775,1.100,0.300,1.500,0.592,2.950,0.740,
5,5Au4nrI2,ok,outputs\procedural_sokoban\5Au4nrI2.txt,outputs\procedural_sokoban\5Au4nrI2.mp4,20,20,Human-designed,Human-designed=15;AI-generated=5,2.600,"The puzzle's simple, almost symmetrical layout and straightforward, sequential solution feel thoughtfully crafted by a person.",3.300,0.781,2.000,0.707,1.100,0.300,1.500,0.592,3.100,0.889,
6,3xtQxBWH,ok,outputs\procedural_sokoban\3xtQxBWH.txt,outputs\procedural_sokoban\3xtQxBWH.mp4,20,20,Human-designed,Human-designed=13;AI-generated=7,2.500,"Since there is no gameplay, I cannot analyze the solution path or intended logic, which are key indicators.",2.900,0.995,2.400,1.241,1.750,1.090,1.550,0.669,3.250,1.043,
7,QUT4qGl2,ok,outputs\procedural_sokoban\QUT4qGl2.txt,outputs\procedural_sokoban\QUT4qGl2.mp4,20,20,AI-generated,AI-generated=14;Human-designed=6,2.650,"The puzzle has a simple, symmetrical layout that feels more like a basic AI-generated starting point than a crafted level.",2.200,1.166,1.650,0.910,1.250,0.433,1.200,0.510,3.000,0.894,
8,bhRr4CCv,ok,outputs\procedural_sokoban\bhRr4CCv.txt,outputs\procedural_sokoban\bhRr4CCv.mp4,20,20,AI-generated,AI-generated=11;Human-designed=9,2.550,"The puzzle is extremely simple and symmetrical, lacking any interesting challenge or clever design elements.",2.300,1.229,1.700,0.954,1.950,1.499,1.500,0.922,2.950,1.284,
9,iJNJxWfZ,ok,outputs\procedural_sokoban\iJNJxWfZ.txt,outputs\procedural_sokoban\iJNJxWfZ.mp4,20,20,Human-designed,Human-designed=17;AI-generated=3,2.800,"The puzzle has a simple, focused idea and a very clear, satisfying solution path, suggesting human design.",3.850,0.654,2.300,0.640,1.150,0.357,2.150,0.726,4.100,0.995,
10,TIXMBKaj,ok,outputs\procedural_sokoban\TIXMBKaj.txt,outputs\procedural_sokoban\TIXMBKaj.mp4,20,20,Human-designed,Human-designed=18;AI-generated=2,2.650,"The puzzle has a specific, non-obvious order of operations needed to solve it, which feels intentional.",3.700,0.557,2.950,0.669,1.550,0.497,2.150,0.726,3.400,0.735,
