map_index,map_id,status,map_path,video_path,creator_belief,confidence_level,reasoning_for_creator_belief,enjoyment,difficulty,frustration,novelty,aesthetics,error
1,x3V9NLQt,ok,outputs\procedural_mario\x3V9NLQt.txt,outputs\procedural_mario\x3V9NLQt.mp4,Human-designed,2,"The level feels like a simple, introductory level created by a human learning a level editor.",3,2,1,1,3,
2,fc3fEIzT,ok,outputs\procedural_mario\fc3fEIzT.txt,outputs\procedural_mario\fc3fEIzT.mp4,AI-generated,3,"The level is extremely short and simple, lacking any coherent design, challenge, or purpose, making it feel auto-generated.",1,1,1,1,1,
3,RtKfCoTJ,ok,outputs\procedural_mario\RtKfCoTJ.txt,outputs\procedural_mario\RtKfCoTJ.mp4,Human-designed,3,"The level is a classic coin-collecting bonus room, a well-established concept intentionally designed by humans.",3,1,1,2,3,
4,Jvmo5e7c,ok,outputs\procedural_mario\Jvmo5e7c.txt,outputs\procedural_mario\Jvmo5e7c.mp4,AI-generated,3,The level lacks coherence and feels like a random assortment of platforms and enemies without purpose.,2,1,1,1,2,
5,V5XEzcZd,ok,outputs\procedural_mario\V5XEzcZd.txt,outputs\procedural_mario\V5XEzcZd.mp4,AI-generated,3,"The level had no logical flow, with random floating platforms, pipes, and staircases that led nowhere.",1,2,3,1,1,
6,XYTl4EzV,ok,outputs\procedural_mario\XYTl4EzV.txt,outputs\procedural_mario\XYTl4EzV.mp4,AI-generated,3,"The level is extremely short, empty, and lacks any discernible purpose or challenge, feeling randomly generated.",1,1,1,1,1,
7,pY9KB33X,ok,outputs\procedural_mario\pY9KB33X.txt,outputs\procedural_mario\pY9KB33X.mp4,AI-generated,3,"The level is a series of disconnected, random segments that lack any intentional design, purpose, or gameplay flow.",1,2,1,1,1,
8,lY6ELCJ9,ok,outputs\procedural_mario\lY6ELCJ9.txt,outputs\procedural_mario\lY6ELCJ9.mp4,AI-generated,3,The level is a series of unrelated sections with no logical flow or intentional design choices.,1,1,1,2,1,
9,ktod92pA,ok,outputs\procedural_mario\ktod92pA.txt,outputs\procedural_mario\ktod92pA.mp4,AI-generated,3,"The level is completely incoherent, featuring random floating blocks and an impossible, game-breaking trap at the end.",1,2,5,1,1,
10,gZGPAuuB,ok,outputs\procedural_mario\gZGPAuuB.txt,outputs\procedural_mario\gZGPAuuB.mp4,AI-generated,2,The level felt like a random collection of basic Mario assets without purpose.,3,1,1,1,2,
11,1AC82kGG,ok,outputs\procedural_mario\1AC82kGG.txt,outputs\procedural_mario\1AC82kGG.mp4,AI-generated,3,The level feels like a random assortment of classic Mario elements without any intentional design or theme.,3,2,1,2,2,
12,oGL3xUR2,ok,outputs\procedural_mario\oGL3xUR2.txt,outputs\procedural_mario\oGL3xUR2.mp4,AI-generated,3,"The level is a series of unrelated segments with no logical flow or purpose, which feels machine-generated.",2,1,1,2,2,
13,tMYRotFs,ok,outputs\procedural_mario\tMYRotFs.txt,outputs\procedural_mario\tMYRotFs.mp4,AI-generated,3,"The level is a disjointed mess of floating pipes, useless stairs, and random enemy placements.",1,2,4,1,1,
14,yAXhWaGh,ok,outputs\procedural_mario\yAXhWaGh.txt,outputs\procedural_mario\yAXhWaGh.mp4,AI-generated,3,"The level consists of disjointed segments, empty spaces, and ultimately leads to an inescapable dead end.",1,1,4,1,1,
15,4bMZDbcE,ok,outputs\procedural_mario\4bMZDbcE.txt,outputs\procedural_mario\4bMZDbcE.mp4,AI-generated,3,"The level is a series of repetitive and disconnected sections, like randomly placed Goombas and pipes, lacking human purpose.",2,2,1,1,1,
16,lgoBPkQB,ok,outputs\procedural_mario\lgoBPkQB.txt,outputs\procedural_mario\lgoBPkQB.mp4,AI-generated,3,The level is a series of unrelated segments that lack human-like purpose or design flow.,2,1,1,1,1,
17,xYnV8Xi7,ok,outputs\procedural_mario\xYnV8Xi7.txt,outputs\procedural_mario\xYnV8Xi7.mp4,AI-generated,3,"The level is just a tiny, empty box with no goal, enemies, or challenges, which feels completely random.",1,1,3,1,1,
18,U3v9pEvF,ok,outputs\procedural_mario\U3v9pEvF.txt,outputs\procedural_mario\U3v9pEvF.mp4,AI-generated,3,"The level is a simple sequence of generic obstacles with no thoughtful arrangement, feeling more like a random collection of game assets than a cohesive, designed experience.",2,2,1,1,2,
19,S7F69Idf,ok,outputs\procedural_mario\S7F69Idf.txt,outputs\procedural_mario\S7F69Idf.mp4,AI-generated,3,The level feels like a random assortment of platforms and enemies without any design intent.,2,1,1,1,2,
20,mmMjssLU,ok,outputs\procedural_mario\mmMjssLU.txt,outputs\procedural_mario\mmMjssLU.mp4,AI-generated,3,"The level is a series of short, disconnected segments that lack any intentional design or purpose.",1,1,2,1,1,
21,Xd8WtCNl,ok,outputs\procedural_mario\Xd8WtCNl.txt,outputs\procedural_mario\Xd8WtCNl.mp4,AI-generated,3,The level is a disjointed series of unrelated segments with random enemy and block placements.,2,2,2,1,1,
22,9Y6J8Rb8,ok,outputs\procedural_mario\9Y6J8Rb8.txt,outputs\procedural_mario\9Y6J8Rb8.mp4,AI-generated,3,"The level is extremely repetitive, using the same enemy and structure patterns without variation, which feels soulless and computer-generated.",1,1,1,1,1,
23,gngXYJwH,ok,outputs\procedural_mario\gngXYJwH.txt,outputs\procedural_mario\gngXYJwH.mp4,AI-generated,2,The level feels like a random assortment of standard Mario elements without a clear design theme or pacing.,3,2,1,2,3,
24,KKZ1dszi,ok,outputs\procedural_mario\KKZ1dszi.txt,outputs\procedural_mario\KKZ1dszi.mp4,AI-generated,3,"The level's structure is incoherent, with random floating blocks and enemies placed without any discernible gameplay purpose.",2,2,1,1,1,
25,vHybWiYq,ok,outputs\procedural_mario\vHybWiYq.txt,outputs\procedural_mario\vHybWiYq.mp4,AI-generated,3,"The level is composed of random, unconnected screens, which feels like a machine stitching together parts without understanding context.",1,1,2,1,1,
26,4PFJlLdR,ok,outputs\procedural_mario\4PFJlLdR.txt,outputs\procedural_mario\4PFJlLdR.mp4,AI-generated,3,"The level's structure is incoherent, with random floating blocks and enemies that lack any intentional design or flow.",2,3,4,2,1,
27,dwIZVZn4,ok,outputs\procedural_mario\dwIZVZn4.txt,outputs\procedural_mario\dwIZVZn4.mp4,AI-generated,3,The level's structure is disjointed and lacks any clear design purpose or flow.,1,1,4,2,1,
28,ueNqeTXa,ok,outputs\procedural_mario\ueNqeTXa.txt,outputs\procedural_mario\ueNqeTXa.mp4,AI-generated,3,The level feels like a random collection of platforms and enemies without any cohesive theme or pacing.,1,3,5,1,1,
29,br59gvRp,ok,outputs\procedural_mario\br59gvRp.txt,outputs\procedural_mario\br59gvRp.mp4,AI-generated,3,"The level is extremely short, lacks any coherent design, and simply ends abruptly after one jump.",1,1,1,1,1,
