map_id,status,true_creator,llm_believed_creator,confidence_level,fun,challenge,frustration,surprise,design,reasoning,error
8Ua6YU1D,ok,Human,Human,3,3,2,1,1,3,"The puzzle uses a classic, compact layout typical of human-designed Sokoban puzzles.",
t7mUz3Qe,ok,Human,Human,3,3,2,1,1,4,"The level is a standard, recognizable Sokoban puzzle with a clear solution path.",
7V2mu5KA,ok,Human,Human,3,3,2,1,1,3,"The puzzle is a very standard, classic Sokoban setup which feels like a tutorial level made by a person.",
HjLVlKx4,ok,Human,AI,2,3,2,2,1,3,The puzzle is a very straightforward execution of a Sokoban concept with no extra flair or clever subversions.,
5Au4nrI2,ok,Human,Human,3,4,3,1,2,4,"The puzzle requires thinking several moves ahead, which feels like a deliberate challenge set by a human designer.",
3xtQxBWH,ok,Human,Human,3,4,4,2,2,4,"The puzzle requires thinking several moves ahead, a classic trait of human-made Sokoban levels.",
QUT4qGl2,ok,Human,Human,3,4,3,2,2,4,"The puzzle relies on player foresight, forcing you to plan moves carefully to avoid getting chests stuck.",
bhRr4CCv,ok,Human,Human,3,4,3,2,1,4,"The puzzle is a compact, classic Sokoban design with a clear, deliberate solution path.",
iJNJxWfZ,ok,Human,AI,2,2,1,1,1,3,"The puzzle feels like a standard, uninspired Sokoban problem without any unique twists or personality.",
TIXMBKaj,ok,Human,Human,3,4,3,1,2,4,"The puzzle has a tight, deliberate layout and a single elegant solution path, which feels very human-made.",
Z0SxyjXq,ok,Human,Human,3,4,3,2,1,4,"The level has a very deliberate and symmetrical layout, a hallmark of human puzzle design.",
ROciIZDL,ok,Human,Human,3,5,3,1,2,4,"The puzzle has a clear, singular solution path that feels deliberately crafted for a satisfying solve.",
2v2qgbvC,ok,Human,Human,2,3,1,1,1,2,"It's a classic, straightforward Sokoban puzzle, which feels like a tutorial or early-game level designed by a person.",
73sJaNBn,ok,Human,Human,3,4,4,2,2,3,"The puzzle requires careful planning and foresight, which feels like a crafted human challenge.",
f8sbFI0a,ok,Human,AI,2,2,1,1,1,2,The puzzle is extremely straightforward and lacks the intentionality or trickiness of human design.,
extLxWet,ok,AI,AI,3,2,1,1,1,2,"The puzzle is a perfectly symmetrical, standard Sokoban problem with a very direct solution path.",
UTSKBMio,ok,AI,Human,3,3,3,2,1,3,This is a standard Sokoban puzzle; the layout feels intentional and crafted for a specific solution.,
LUiVjpMm,ok,AI,AI,1,2,1,1,1,2,"The layout is extremely basic and symmetrical, feeling more like a tutorial than a thoughtfully designed puzzle.",
cHhvQJlr,ok,AI,Human,3,3,3,2,1,3,"The puzzle is a straightforward, classic Sokoban design with a clear goal and logical steps.",
cTxMstwv,ok,AI,Human,3,4,2,1,1,4,"The puzzle requires forethought and a specific sequence of moves, which feels like a classic, human-made design.",
ij6onaGt,ok,AI,Human,3,4,3,2,1,3,"The puzzle's structure feels intentional, guiding the player through a specific sequence of moves.",
5iXJGqnK,ok,AI,Human,3,3,4,4,1,3,"The puzzle is a standard, compact Sokoban setup with a clear, logical path that requires foresight.",
H77pn4iQ,ok,AI,Human,3,4,4,2,2,4,"The puzzle requires thinking several steps ahead, which feels like a classic, hand-crafted brain teaser.",
Iz5BqRyu,ok,AI,AI,2,3,2,1,1,3,"The puzzle has a very rigid, symmetrical layout of boxes and goal tiles, which feels computationally generated.",
QV6Qfb7T,ok,AI,Human,3,4,3,1,2,4,"The puzzle has a tight, focused design with a single solution, typical of human-made Sokoban levels.",
UeeTjy5b,ok,AI,AI,3,2,1,1,1,2,The puzzle is extremely simple and feels more like a basic functionality test than a thoughtfully designed challenge.,
oHSLE5UO,ok,AI,Human,3,3,1,1,1,3,"The level is a basic version of a classic Sokoban puzzle, a famous human-designed game.",
79DSy6TF,ok,AI,AI,3,1,1,5,1,1,"The puzzle is unsolvable because the player gets stuck, which feels like an oversight an AI might make.",
aE7sjnta,ok,AI,Human,3,3,1,1,1,3,"The puzzle is a basic introduction to Sokoban mechanics, a very common human design pattern.",
wSCVt298,ok,AI,Human,3,3,1,1,1,3,"The puzzle is a simple, symmetrical introduction that teaches the core mechanic without any complex tricks.",
