map_id,status,true_creator,llm_believed_creator,confidence_level,fun,challenge,frustration,surprise,design,reasoning,error
x3V9NLQt,ok,Human,AI,2.95,2.15,1.0,1.0,1.0,1.75,"The level felt very generic, with basic platform placement and minimal, uninspired enemy use.",
fc3fEIzT,ok,Human,AI,2.85,1.75,1.05,1.1,1.0,1.45,"The level is extremely short, simple, and lacks any discernible challenge or interesting design choices, suggesting algorithmic generation.",
RtKfCoTJ,ok,Human,AI,2.55,1.3,1.0,1.1,1.0,1.1,"The level is just a few floating platforms with no enemies, obstacles, or thoughtful arrangement.",
Jvmo5e7c,ok,Human,AI,2.75,2.4,1.65,1.35,1.25,1.6,"The level is a simple, disjointed collection of platforms, pipes, and enemies with no clear design intent or flow.",
V5XEzcZd,ok,Human,AI,2.8,2.2,1.05,1.0,1.05,1.65,"The level design feels random, lacking a clear theme or progression, and includes strange enemy placements like the Lakitu on the ground.",
XYTl4EzV,ok,Human,AI,3.0,1.0,1.0,2.45,1.1,1.0,"The level is extremely short, empty, and contains no enemies or meaningful challenges, feeling more like a tutorial fragment.",
pY9KB33X,ok,Human,AI,2.7,2.5,1.5,1.45,1.1,1.95,"The placement of objects feels very standard and lacks any a specific human design signature, resembling a simple combination of assets.",
lY6ELCJ9,ok,Human,AI,2.9,1.9,1.1,1.1,1.25,1.3,"Elements are placed randomly with no clear design philosophy, like the vine that leads nowhere interesting.",
ktod92pA,ok,Human,AI,2.9,1.75,2.3,3.65,1.65,1.25,"The level is very empty, disjointed, and ends in an inescapable pit, indicating a lack of human design intent.",
gZGPAuuB,ok,Human,AI,2.65,3.3,1.05,1.0,1.1,3.35,"The level appears to be a slightly remixed and simpler version of World 1-1, indicating an AI trained on the original game.",
1AC82kGG,ok,Human,AI,2.55,2.5,1.45,1.0,1.55,1.7,"The level felt more like a random assortment of obstacles rather than a thoughtfully designed, cohesive experience.",
oGL3xUR2,ok,Human,AI,3.0,1.65,1.0,1.0,1.0,1.45,"The level is extremely short, lacks enemies, and feels like random, disjointed segments put together without a clear design goal.",
tMYRotFs,ok,Human,AI,3.0,1.35,1.55,2.65,1.25,1.2,The level is a series of disjointed chunks with repetitive enemy placements and no clear flow or theme.,
yAXhWaGh,ok,Human,AI,2.95,1.05,1.6,4.65,1.3,1.0,"The level abruptly ends in an empty, impassable area, which is a common trait in generated levels lacking a clear goal.",
4bMZDbcE,ok,Human,AI,2.95,2.4,1.2,1.3,1.0,2.1,"The level consists of near-identical chunks of design repeated with very minor variation, suggesting algorithmic generation.",
lgoBPkQB,ok,AI,Human,2.85,4.4,1.1,1.0,1.35,4.3,"The sequence of jumps, pipes, and enemy placements perfectly matches the famous World 1-1.",
xYnV8Xi7,ok,AI,AI,2.9,1.1,2.05,3.0,1.5,1.05,The level is completely empty and unbeatable; the player is stuck in a loop without any way to progress.,
U3v9pEvF,ok,AI,AI,2.8,2.45,2.8,2.6,2.15,1.95,"The level feels like a classic, cohesive stage with a clear difficulty ramp and intentional object placements.",
S7F69Idf,ok,AI,AI,2.65,2.4,1.1,1.0,1.05,2.15,"The level uses basic structures but lacks a clear theme or progression, feeling more like a random assortment of Mario elements.",
mmMjssLU,ok,AI,Human,2.75,3.55,1.65,1.25,1.5,3.45,"The level follows classic design principles, including teaching the player with simple challenges before introducing harder ones.",
Xd8WtCNl,ok,AI,AI,2.7,2.3,2.15,1.9,1.55,1.55,"The level lacks coherent design, with empty spaces and illogical enemy placements feeling random and procedurally generated.",
9Y6J8Rb8,ok,AI,AI,2.9,2.0,2.5,2.75,1.3,1.25,"The level's auto-scroll combined with randomly placed, disconnected platforms feels chaotic and lacks intentional design flow.",
gngXYJwH,ok,AI,AI,2.65,2.95,1.85,1.15,1.2,2.35,"The level combines familiar elements in a functional but uninspired way, lacking a clear design theme.",
KKZ1dszi,ok,AI,AI,2.95,2.3,2.05,2.15,1.1,1.7,Enemy and block placement feels random rather than intentionally designed to create a specific challenge or flow.,
vHybWiYq,ok,AI,Human,2.75,3.1,1.7,1.3,1.3,2.85,"The level design feels classic, with a clear progression and fair enemy/obstacle placement that teaches and tests skills.",
4PFJlLdR,ok,AI,AI,2.6,2.7,1.75,1.3,1.35,2.25,The level felt disjointed and lacked a coherent theme or a clear progression that I typically expect from human-designed levels. Some enemy and object placements seemed random rather than intentional.,
dwIZVZn4,ok,AI,Human,2.45,2.55,1.55,1.35,1.25,2.25,"The level's design, though minimal, shows a deliberate flow and a clear-cut challenge, which suggests human intent.",
ueNqeTXa,ok,AI,AI,2.55,2.3,2.05,1.85,1.35,1.8,"The placement of single blocks, enemies and gaps feels random, not part of a coherent player challenge.",
br59gvRp,ok,AI,AI,2.65,2.3,1.4,1.45,1.0,1.8,"The level is extremely short, lacks any sort of progression, and simply ends at a dead end.",
8cgqvaZu,ok,AI,AI,2.85,2.4,2.35,1.95,1.35,1.8,"The level feels like a collection of random, disconnected platforming ideas rather than a cohesive, flowing experience with a clear theme or progression.",
