map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,x3V9NLQt,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\x3V9NLQt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\x3V9NLQt.mp4,1.000,1.000,20,20,Human,Human=14;AI=6,2.650,"The level design is simplistic, featuring short platforms and standard enemy placement that feels straightforward. It lacks complex interactions or truly innovative ideas often found in advanced human-made levels.",3.300,0.640,1.400,0.490,1.000,0.000,1.000,0.000,2.850,0.963,
2,fc3fEIzT,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\fc3fEIzT.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\fc3fEIzT.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.850,"The level is extremely simplistic, comprising only floating platforms and coins with no enemies or complex structures. It feels more like a test pattern or a minimal, randomly placed environment rather than a thoughtfully designed human stage.",1.300,0.640,1.000,0.000,1.450,1.203,1.350,0.910,1.100,0.300,
3,RtKfCoTJ,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\RtKfCoTJ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\RtKfCoTJ.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.650,"The level is extremely simple and lacks any real challenge or interactive elements. It feels like a very basic, uninspired tutorial or a default starting point.",1.300,0.714,1.200,0.872,1.250,0.887,1.100,0.300,1.150,0.357,
4,Jvmo5e7c,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\Jvmo5e7c.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Jvmo5e7c.mp4,1.000,1.000,20,20,Human,Human=10;AI=10,2.750,"This level is extremely basic, lacking any complex design ideas or challenging enemy placements. It feels like a very early or simple human creation, not a complex AI-generated one.",3.150,1.014,1.800,0.748,1.300,0.954,1.150,0.357,2.750,1.220,
5,V5XEzcZd,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\V5XEzcZd.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\V5XEzcZd.mp4,1.000,1.000,20,20,AI,AI=17;Human=3,2.900,"The level lacks coherent design, with floating platforms and enemies placed erratically. There's no clear theme or progression, creating a sense of randomness rather than intentional challenge.",2.450,0.740,1.250,0.536,1.300,0.900,1.300,0.781,1.800,0.812,
6,XYTl4EzV,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\XYTl4EzV.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\XYTl4EzV.mp4,1.000,1.000,20,20,AI,AI=18;Human=2,3.000,"The level lacks any enemies, hazards, or complex structures, feeling more like a simple test. The player character's behavior is also unnatural; a human would try to finish the level.",1.050,0.218,1.000,0.000,3.050,1.658,1.850,1.195,1.000,0.000,
7,pY9KB33X,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\pY9KB33X.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\pY9KB33X.mp4,1.000,1.000,20,20,AI,AI=11;Human=9,2.750,"The level design shows a clear progression with well-placed enemies and platforms introducing small challenges. The structure feels intentional, with a beginning, middle, and end, which suggests a human designer's touch.",3.000,1.000,2.050,0.740,1.500,1.204,1.300,0.714,2.550,1.284,
8,lY6ELCJ9,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\lY6ELCJ9.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lY6ELCJ9.mp4,1.000,1.000,20,20,AI,AI=14;Human=6,2.900,"The level consists of recognizable segments pasted together, like the piranha plant pipes and block structures. There is no clear theme or progression, feeling more like a random collection of game elements.",2.800,0.980,1.700,0.640,1.000,0.000,1.450,0.740,2.350,1.062,
9,ktod92pA,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\ktod92pA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ktod92pA.mp4,1.000,1.000,20,20,AI,AI=15;Human=5,2.850,"The level design feels very traditional and follows common patterns seen in the original Super Mario Bros. The challenges are straightforward, involving basic jumping and enemy avoidance, without any strange or illogical object placement. The difficulty curve is gentle and feels intentionally crafted to teach basic mechanics, which is a hallmark of human design.",2.100,1.136,2.750,0.994,4.100,1.044,2.200,1.122,1.700,1.229,
10,gZGPAuuB,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\mario\gZGPAuuB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gZGPAuuB.mp4,1.000,1.000,20,20,Human,Human=16;AI=4,3.000,"The level design is very basic and linear, similar to early Mario levels. It reuses common elements like pipes, goombas, and staircases in a conventional, uninspired way.",3.950,0.865,1.350,0.477,1.000,0.000,1.050,0.218,3.700,1.145,
