map_id,status,true_creator,llm_believed_creator,confidence_level,fun,challenge,frustration,surprise,design,reasoning,error
x3V9NLQt,ok,Human,AI,2,2,1,1,1,2,The placement of platforms and enemies feels random and lacks a clear design intention or narrative.,
fc3fEIzT,ok,Human,Human,3,2,1,1,1,2,"The level feels like a very simple, introductory stage that a human would create to test basic mechanics.",
RtKfCoTJ,ok,Human,AI,3,1,1,1,1,1,"The level is extremely simple, with just a few platforms and no real challenge or flow.",
Jvmo5e7c,ok,Human,AI,2,3,2,1,2,2,"The placement of platforms, enemies, and pipes seems arbitrary and lacks a clear, guiding design principle.",
V5XEzcZd,ok,Human,AI,3,2,1,1,1,2,The enemy and platform placements feel random and lack any real challenge or creative structure.,
XYTl4EzV,ok,Human,AI,3,1,1,2,1,1,"The level is extremely short, lacks any enemies or real challenges, and feels completely random and purposeless.",
pY9KB33X,ok,Human,Human,3,4,2,1,1,4,"It feels like a cohesive, classic Mario level with a gentle difficulty curve and familiar patterns.",
lY6ELCJ9,ok,Human,AI,3,2,1,1,2,2,"The level lacks coherent structure, with random floating blocks and disconnected segments feeling algorithmically placed.",
ktod92pA,ok,Human,AI,3,1,2,4,1,1,"The level is empty and disjointed, with no clear path or purpose.",
gZGPAuuB,ok,Human,Human,3,5,1,1,1,5,"The level layout, enemy placement, and overall flow are identical to World 1-1.",
1AC82kGG,ok,Human,AI,2,3,3,2,2,2,The level feels like a random assortment of classic Mario elements without a clear flow or purpose.,
oGL3xUR2,ok,Human,AI,3,1,1,1,1,1,The level is very empty and uses standard elements without any interesting combinations or flow.,
tMYRotFs,ok,Human,AI,2,2,1,1,1,2,The placement of enemies and platforms feels random and lacks a coherent design theme or flow.,
yAXhWaGh,ok,Human,AI,3,2,2,4,1,1,The level has random structures and enemy placements that don't create a good gameplay flow.,
4bMZDbcE,ok,Human,AI,3,2,1,1,1,2,The level uses the same few elements repeatedly and lacks any creative or surprising design choices.,
lgoBPkQB,ok,AI,Human,3,3,1,1,1,4,"The level structure, with its recognizable pyramids and pipes, feels like a classic, human-made introduction level.",
xYnV8Xi7,ok,AI,AI,3,1,1,2,1,1,The level is just a few random platforms and pipes with no enemies or clear objective.,
U3v9pEvF,ok,AI,AI,3,2,1,1,1,2,The level is just a random assortment of platforms and enemies with no coherent structure or theme.,
S7F69Idf,ok,AI,AI,3,2,1,1,2,1,The level is a series of unrelated platforming challenges without any clear design intention or progression.,
mmMjssLU,ok,AI,AI,2,3,2,1,1,2,The level is a series of disconnected platforming segments that don't flow together into a cohesive experience.,
Xd8WtCNl,ok,AI,AI,3,2,2,1,1,2,The level feels somewhat random and lacks a clear design theme or progression.,
9Y6J8Rb8,ok,AI,AI,3,2,2,1,1,2,The level feels like a random assortment of classic Mario elements without a clear theme or progression.,
gngXYJwH,ok,AI,Human,3,4,2,1,2,4,"The level has a classic, coherent design with a clear difficulty progression that feels intentionally crafted by a person.",
KKZ1dszi,ok,AI,Human,3,4,2,1,1,4,The level uses classic Mario design principles like introducing enemies and then combining them in simple ways.,
vHybWiYq,ok,AI,AI,2,3,2,1,1,2,"The placement of single blocks and small, repetitive enemy groups feels formulaic rather than intentionally designed for fun.",
4PFJlLdR,ok,AI,AI,2,2,2,1,2,2,The platforms seem randomly placed with inconsistent spacing and no real theme or progression.,
dwIZVZn4,ok,AI,AI,3,1,1,1,1,1,"The level is extremely short, empty, and lacks any real challenge or coherent structure.",
ueNqeTXa,ok,AI,AI,2,2,3,4,1,2,The level is a simple auto-scroller with randomly placed blocks that don't serve much purpose.,
br59gvRp,ok,AI,Human,3,4,2,1,1,4,"The level uses simple, classic enemy placements and platforming challenges typical of early game design.",
8cgqvaZu,ok,AI,AI,2,3,3,2,1,2,The placement of single blocks and enemies feels random and lacks intentional design flow.,
