map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
1,8Ua6YU1D,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\8Ua6YU1D.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\8Ua6YU1D.mp4,1.000,1.000,20,20,Human,Human=11;AI=9,2.600,"The level is extremely simple and symmetrical. It feels more like a tutorial or a basic building block than a complex puzzle, which an AI might generate as a test case.",1.450,0.669,1.000,0.000,1.500,1.204,1.050,0.218,1.450,0.740,
2,t7mUz3Qe,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\t7mUz3Qe.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\t7mUz3Qe.mp4,1.000,1.000,20,20,Human,Human=12;AI=8,2.750,"The level is extremely simple and symmetrical, with boxes and goals placed directly next to each other. It resembles a tutorial or introduction level made for players to grasp basic movement.",2.250,0.698,1.000,0.000,1.000,0.000,1.000,0.000,2.150,0.726,
3,7V2mu5KA,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\7V2mu5KA.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\7V2mu5KA.mp4,1.000,1.000,20,20,Human,Human=15;AI=5,2.650,"It feels like a classic, well-established Sokoban puzzle. There's a clear reliance on a common mechanic (splitting a stack of boxes) without any strange tricks.",3.000,0.707,1.400,0.583,1.050,0.218,1.000,0.000,2.800,0.748,
4,HjLVlKx4,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\HjLVlKx4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\HjLVlKx4.mp4,1.000,1.000,20,20,Human,Human=11;AI=9,2.650,"The level is a very simple, open room with no complex structures or dependencies. The puzzle logic is linear and straightforward, lacking the typical complexity seen in human-designed puzzles.",2.750,0.942,1.850,1.014,1.300,0.714,1.350,0.654,2.750,1.178,
5,5Au4nrI2,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\5Au4nrI2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5Au4nrI2.mp4,1.000,1.000,20,20,Human,AI=10;Human=10,2.250,"The level design is simplistic, lacking any deep puzzle mechanisms or 'aha' moments. The solution path is straightforward and feels like a simple tutorial rather than a complex challenge, indicating it might be a basic generation.",3.150,0.572,2.050,0.865,1.350,0.726,1.150,0.357,3.150,0.726,
6,3xtQxBWH,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\3xtQxBWH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\3xtQxBWH.mp4,1.000,1.000,20,20,Human,Human=15;AI=5,2.750,"The puzzle has a straightforward solution flow with some minor interdependencies. It features a logical progression without overly complex or counterintuitive tricks, feeling like a classic human-designed challenge.",3.650,0.477,2.650,0.726,1.350,0.477,1.600,0.917,3.850,0.654,
7,QUT4qGl2,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\QUT4qGl2.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QUT4qGl2.mp4,1.000,1.000,20,20,Human,Human=19;AI=1,2.300,"The level design is compact and features a clear, non-trivial interaction between the boxes. There's a specific sequence required, making it more like a deliberate puzzle with a single solution path, which feels human-designed.",3.850,0.357,2.900,0.889,1.550,0.497,1.900,0.539,3.950,0.740,
8,bhRr4CCv,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\bhRr4CCv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\bhRr4CCv.mp4,1.000,1.000,20,20,Human,Human=18;AI=2,2.650,"The level design is very symmetrical and structured, focusing on a core logical challenge rather than creative flair. The layout feels methodical, like an algorithm exploring a specific solution path.",3.800,0.400,3.150,0.726,1.750,0.698,1.900,0.539,4.200,0.748,
9,iJNJxWfZ,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\iJNJxWfZ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\iJNJxWfZ.mp4,1.000,1.000,20,20,Human,Human=16;AI=4,2.800,"The level design is symmetrical and feels very deliberate, not random. It creates a compact, interconnected puzzle that shows clear intention, typical of a human designer.",3.850,0.477,2.500,0.500,1.250,0.433,1.700,0.557,4.050,0.669,
10,TIXMBKaj,ok,creator_judgment,Human,,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\01_creator_judgment\sokoban\TIXMBKaj.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\TIXMBKaj.mp4,1.000,1.000,20,20,Human,Human=15;AI=5,2.850,"The level design is very straightforward, resembling a simple introductory puzzle. The solution is linear and doesn't involve complex interdependencies, which suggests a human design focused on teaching basic mechanics.",3.350,0.792,2.150,0.910,1.150,0.357,1.350,0.726,3.200,0.927,
