map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
1,x3V9NLQt,ok,outputs\procedural_mario\x3V9NLQt.txt,outputs\procedural_mario\x3V9NLQt.mp4,20,20,AI-generated,AI-generated=19;Human-designed=1,2.950,"The level felt very generic, with basic platform placement and minimal, uninspired enemy use.",2.150,0.572,1.000,0.000,1.000,0.000,1.000,0.000,1.750,0.698,
2,fc3fEIzT,ok,outputs\procedural_mario\fc3fEIzT.txt,outputs\procedural_mario\fc3fEIzT.mp4,20,20,AI-generated,AI-generated=18;Human-designed=2,2.850,"The level is extremely short, simple, and lacks any discernible challenge or interesting design choices, suggesting algorithmic generation.",1.750,0.766,1.050,0.218,1.100,0.436,1.000,0.000,1.450,0.805,
3,RtKfCoTJ,ok,outputs\procedural_mario\RtKfCoTJ.txt,outputs\procedural_mario\RtKfCoTJ.mp4,20,20,AI-generated,AI-generated=20,2.550,"The level is just a few floating platforms with no enemies, obstacles, or thoughtful arrangement.",1.300,0.640,1.000,0.000,1.100,0.436,1.000,0.000,1.100,0.300,
4,Jvmo5e7c,ok,outputs\procedural_mario\Jvmo5e7c.txt,outputs\procedural_mario\Jvmo5e7c.mp4,20,20,AI-generated,AI-generated=18;Human-designed=2,2.750,"The level is a simple, disjointed collection of platforms, pipes, and enemies with no clear design intent or flow.",2.400,0.583,1.650,0.654,1.350,0.792,1.250,0.433,1.600,0.735,
5,V5XEzcZd,ok,outputs\procedural_mario\V5XEzcZd.txt,outputs\procedural_mario\V5XEzcZd.mp4,20,20,AI-generated,AI-generated=20,2.800,"The level design feels random, lacking a clear theme or progression, and includes strange enemy placements like the Lakitu on the ground.",2.200,0.510,1.050,0.218,1.000,0.000,1.050,0.218,1.650,0.572,
6,XYTl4EzV,ok,outputs\procedural_mario\XYTl4EzV.txt,outputs\procedural_mario\XYTl4EzV.mp4,20,20,AI-generated,AI-generated=20,3.000,"The level is extremely short, empty, and contains no enemies or meaningful challenges, feeling more like a tutorial fragment.",1.000,0.000,1.000,0.000,2.450,1.717,1.100,0.300,1.000,0.000,
7,pY9KB33X,ok,outputs\procedural_mario\pY9KB33X.txt,outputs\procedural_mario\pY9KB33X.mp4,20,20,AI-generated,AI-generated=17;Human-designed=3,2.700,"The placement of objects feels very standard and lacks any a specific human design signature, resembling a simple combination of assets.",2.500,0.671,1.500,0.500,1.450,0.921,1.100,0.300,1.950,0.805,
8,lY6ELCJ9,ok,outputs\procedural_mario\lY6ELCJ9.txt,outputs\procedural_mario\lY6ELCJ9.mp4,20,20,AI-generated,AI-generated=20,2.900,"Elements are placed randomly with no clear design philosophy, like the vine that leads nowhere interesting.",1.900,0.300,1.100,0.300,1.100,0.300,1.250,0.433,1.300,0.458,
9,ktod92pA,ok,outputs\procedural_mario\ktod92pA.txt,outputs\procedural_mario\ktod92pA.mp4,20,20,AI-generated,AI-generated=18;Human-designed=2,2.900,"The level is very empty, disjointed, and ends in an inescapable pit, indicating a lack of human design intent.",1.750,0.766,2.300,1.100,3.650,1.388,1.650,0.726,1.250,0.766,
10,gZGPAuuB,ok,outputs\procedural_mario\gZGPAuuB.txt,outputs\procedural_mario\gZGPAuuB.mp4,20,20,AI-generated,AI-generated=15;Human-designed=5,2.650,"The level appears to be a slightly remixed and simpler version of World 1-1, indicating an AI trained on the original game.",3.300,1.187,1.050,0.218,1.000,0.000,1.100,0.436,3.350,1.352,
